1099,0:18:35,73,C,S,N,-37303.242188,25.639999,8.403000,0:18:35,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:36,74,C,S,N,-37885.386719,25.639999,8.400100,0:18:36,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:37,75,C,S,N,-38450.332031,25.639999,8.369900,0:18:37,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:38,76,C,S,N,-38999.152344,25.639999,8.382100,0:18:38,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:39,77,C,S,N,-39532.839844,25.629999,8.403000,0:18:39,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:40,78,C,S,N,-40052.335938,25.639999,8.400100,0:18:40,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:41,79,C,S,N,-40558.445312,25.629999,8.369900,0:18:41,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:42,80,C,S,N,-41051.929688,25.639999,8.382100,0:18:42,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:43,81,C,S,N,-41533.445312,25.599998,8.403000,0:18:43,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:44,82,C,S,N,-42003.625000,25.619999,8.400100,0:18:44,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:45,83,C,S,N,-42463.031250,25.609999,8.369900,0:18:45,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:46,84,C,S,N,-42912.230469,25.619999,8.382100,0:18:46,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:47,85,C,S,N,-43351.695312,25.609999,8.403000,0:18:47,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:48,86,C,S,N,-43781.890625,25.599998,8.400100,0:18:48,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:49,87,C,S,N,-44203.250000,25.590000,8.369900,0:18:49,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:50,88,C,S,N,-44616.160156,25.590000,8.382100,0:18:50,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
